J,v,e/f,Ref,TypeTag,Lifetime_Obs,Unc_Obs,Lifetime_Calc,Unc_Calc,OC,RealDifference
6.5,3,e,99PaYa,Theory,123.0,,140.60810874738212,17.863866335731494,-17.60810874738212,0
6.5,3,f,99PaYa,Theory,120.0,,145.86843109212404,18.285120946089133,-25.86843109212404,7.583310146034908
7.5,3,e,99PaYa,Theory,108.0,,132.6726045403386,16.894680189903596,-24.672604540338597,7.777924350435001
7.5,3,f,99PaYa,Theory,105.0,,126.30073827117751,15.747663959001947,-21.300738271177508,5.553074312175561
8.5,3,e,99PaYa,Theory,94.0,,114.91719285515761,14.544465924357448,-20.91719285515761,6.372726930800161
8.5,3,f,99PaYa,Theory,90.0,,111.01976073234701,13.827759415880145,-21.01976073234701,7.192001316466865
9.5,3,e,99PaYa,Theory,82.0,,101.72977258587947,12.760241707247873,-19.729772585879473,6.9695308786316
9.5,3,f,99PaYa,Theory,78.0,,92.18972903501833,11.392967496748994,-14.189729035018331,2.7967615382693367
10.5,3,e,99PaYa,Theory,70.0,,89.54633470614847,11.093094449495926,-19.54633470614847,8.453240256652546
10.5,3,f,99PaYa,Theory,67.0,,76.12817486122592,10.106905007372797,-9.128174861225915,0
11.5,3,e,99PaYa,Theory,60.0,,74.05151397945859,9.12054227252162,-14.05151397945859,4.930971706936971
11.5,3,f,99PaYa,Theory,57.0,,63.672734864894814,7.8449429578010434,-6.672734864894814,0
12.5,3,e,99PaYa,Theory,51.0,,65.35812107020571,8.01445742379425,-14.358121070205712,6.343663646411462
12.5,3,f,99PaYa,Theory,49.0,,56.134748735527445,6.865536798347765,-7.134748735527445,0.26921193717967995
13.5,3,e,99PaYa,Theory,44.0,,55.59556026373763,6.812176399915132,-11.595560263737632,4.7833838638224995
13.5,3,f,99PaYa,Theory,51.0,,48.646939601781604,6.185231655105589,2.353060398218396,0
14.5,3,e,99PaYa,Theory,38.0,,46.89370290320002,5.929408811905967,-8.893702903200023,2.9642940912940556
14.5,3,f,99PaYa,Theory,36.0,,41.028720418559026,5.084983709144177,-5.0287204185590255,0
15.5,3,e,99PaYa,Theory,32.0,,39.54659626080959,4.853879346708667,-7.5465962608095865,2.6927169141009193
15.5,3,f,99PaYa,Theory,31.0,,34.01646897930484,4.199087327272031,-3.0164689793048396,0
16.5,3,e,99PaYa,Theory,28.0,,34.66934802609247,4.3071330613097825,-6.669348026092472,2.362214964782689
16.5,3,f,99PaYa,Theory,27.0,,28.547431959520377,3.512646196853983,-1.5474319595203774,0
17.5,3,f,99PaYa,Theory,23.0,,24.524311007396133,3.2525165777332092,-1.5243110073961326,0
0.5,4,e,99PaYa,Theory,18.0,,19.45503772095007,2.3566337402486712,-1.4550377209500702,0
0.5,4,f,99PaYa,Theory,18.0,,18.77797226264416,2.2784861029009464,-0.777972262644159,0
1.5,4,e,99PaYa,Theory,18.0,,18.643898010907925,2.2611904563969776,-0.6438980109079253,0
1.5,4,f,99PaYa,Theory,18.0,,18.663101382713712,2.3007762089644808,-0.6631013827137124,0
2.5,4,e,99PaYa,Theory,18.0,,18.764175345050802,2.3048717510061842,-0.764175345050802,0
2.5,4,f,99PaYa,Theory,18.0,,19.689439203932157,2.394315760607822,-1.6894392039321566,0
3.5,4,e,99PaYa,Theory,18.0,,20.066315689938826,2.7854993105806494,-2.0663156899388255,0
3.5,4,f,99PaYa,Theory,18.0,,19.404496575575457,2.584213653935443,-1.4044965755754575,0
4.5,4,e,99PaYa,Theory,17.0,,21.12299470475962,2.91954314863271,-4.12299470475962,1.2034515561269097
4.5,4,f,99PaYa,Theory,17.0,,16.66434909923382,2.131954910785619,0.3356509007661792,0
5.5,4,e,99PaYa,Theory,17.0,,17.12140330770447,2.143262341311436,-0.12140330770446894,0
5.5,4,f,99PaYa,Theory,17.0,,17.428811216360916,2.1198474889643775,-0.42881121636091635,0
6.5,4,e,99PaYa,Theory,16.0,,17.893450943065567,2.172013274466349,-1.8934509430655666,0
6.5,4,f,99PaYa,Theory,16.0,,15.480897569131521,2.187706192308455,0.5191024308684788,0
7.5,4,e,99PaYa,Theory,15.0,,16.051934512582402,2.0597928189730013,-1.0519345125824024,0
7.5,4,f,99PaYa,Theory,16.0,,15.545118433168136,1.903929396654605,0.45488156683186354,0
8.5,4,e,99PaYa,Theory,15.0,,15.413166213648445,1.9946183422616308,-0.4131662136484451,0
8.5,4,f,99PaYa,Theory,15.0,,13.79240458518423,1.6898480304555035,1.2075954148157706,0
9.5,4,e,99PaYa,Theory,14.0,,14.33929201586317,1.7532317921765725,-0.3392920158631707,0
9.5,4,f,99PaYa,Theory,15.0,,12.682364349300073,1.617934444644758,2.317635650699927,0.6997012060551688
10.5,4,f,99PaYa,Theory,14.0,,11.352977384343381,1.3847851671212172,2.647022615656619,1.2622374485354015
